keyword,avg_price_change_pct_4d,count,avg_sentiment_score
tops,12.229088974200248,2,3.0
growth,6.242134218447479,9,3.111111111111111
cut,4.19274954033954,11,-0.9090909090909091
profit,3.299549507867978,2,2.0
fall,2.6715245193487123,2,-0.5
launch,2.3104834277674433,5,1.2
beat,2.0621080000946876,9,3.111111111111111
sue,0.8298630511971814,5,-1.0
up,0.8228792200647636,28,1.5
down,0.402973169781554,7,-1.0
positive,-0.20905457639183864,3,1.6666666666666667
open,-0.2695590202372522,5,1.2
partnership,-0.35875243810477675,2,1.5
warns,-0.44130182392367734,2,-2.0
miss,-0.7558313653551761,3,-1.6666666666666667
soars,-1.0659744303534766,2,4.0
lawsuit,-1.070671664835326,3,-2.0
quarterly dividend,-1.1097657658950202,8,1.125
surge,-1.232671970965008,3,2.0
crash,-1.273112678998738,6,-3.0
acquire,-1.6380452739219122,2,1.0
strong,-1.7775902417925669,7,2.142857142857143
buy,-1.8993501856563808,11,1.1818181818181819
record,-2.36612293080903,4,2.75
gain,-3.4434912807005196,5,1.8
celebrates,-3.7507545228253925,3,2.0
